"meshDataId","!7369fb6a","!75f19024","latitudeI","longitudeI","createdAt"
"dd113a40-2c4a-48a0-ae26-1e89bad0e3f2",-118,-120,"457097230","138555846","2026-01-18 20:22:26.638"
"b79b028d-e84b-49f7-9fac-d55b98cc7f0e",-118,NULL,"457124933","138503520","2026-01-18 20:22:56.845"
"ca295f57-218d-4d3f-87af-0d2bbfcf03d2",-116,-115,"457134553","138481261","2026-01-18 20:23:11.968"
"09cfe71f-4f48-4d0f-81ca-3e07a1d51817",-117,-116,"457153290","138495278","2026-01-18 20:23:43.268"
"560c791c-c3a1-4cd7-8898-d17b068b40d9",-121,-78,"457153901","138494105","2026-01-18 20:23:59.047"
"1ec419c1-d9b6-40d3-8f09-1b76b0a98d6a",-123,-118,"457153961","138492816","2026-01-18 20:24:35.911"
"691d3c00-f114-44bc-9456-a722ce7e8253",-122,-79,"457164058","138514741","2026-01-18 20:25:53.542"
"b09d36ad-ab03-47f9-8435-6e3c73b78352",-125,NULL,"457171991","138526825","2026-01-18 20:26:08.02"
"ed231c5a-f75c-4834-b6d0-4ee6976b95ba",-125,NULL,"457186390","138542583","2026-01-18 20:26:37.947"
"2019ffba-64af-4416-b692-58824b56f282",-111,-79,"457202198","138544010","2026-01-18 20:26:52.972"
"fd7cfcda-e4c1-4d55-b545-6a01e27e2e3e",-115,-107,"457207906","138539073","2026-01-18 20:27:08.992"
"bb84efaf-96d8-4bed-b145-01e52e371bdc",-113,-78,"457208485","138538243","2026-01-18 20:28:42.942"
"08e1fc93-2343-4f17-84f7-c370aa48b9af",-125,NULL,"457234191","138257546","2026-01-18 20:30:40.126"
"5bd3309f-9b51-4afe-8aef-6a2a66fceea7",-121,-79,"457333996","138218108","2026-01-18 20:35:34.921"
"f1a51171-af6b-413a-a5ce-ca143869a288",-117,-111,"457334271","138231433","2026-01-18 20:35:49.922"
"ab35ae45-ce69-472a-b8a3-5f8998235b90",-118,-78,"457332338","138241256","2026-01-18 20:36:04.984"
"d250e39e-89a4-4a31-a193-f10333839ada",-122,-78,"457338073","138233143","2026-01-18 20:36:19.964"
"5fe4eda3-4123-4e6d-9f74-56e9af126556",-116,-79,"457346856","138221563","2026-01-18 20:36:35.045"
"67051524-2e47-46a1-ae1b-23839048066b",-118,-114,"457357256","138212143","2026-01-18 20:36:50.948"
"2ec28704-b5d4-4769-ac29-88ee88e11fdb",-119,-79,"457371611","138210388","2026-01-18 20:37:06.017"
"b0acffb9-f55d-4e73-8488-74cd5ee591fa",-118,-79,"457433071","138325133","2026-01-18 20:38:38.294"
"cae0df92-d83e-4e04-95b2-16f2483d4392",-119,-78,"457445641","138341771","2026-01-18 20:38:53.497"
"a3374c2d-cc4d-4e40-947a-84c79306f433",-119,-115,"457543343","138339975","2026-01-18 20:40:09.07"
"d06e8be4-9e92-49bb-bfa0-1c3dbc82afe9",-120,NULL,"457549870","138333030","2026-01-18 20:40:24.9"
"38858a6f-d4db-4103-89a9-eae76ecf4323",-111,-115,"457557048","138326888","2026-01-18 20:40:39.969"
"1fc4bf75-9487-4d5d-9373-3958a1608457",-100,-106,"457563386","138316236","2026-01-18 20:40:55.05"
"a1bb0df7-d5e7-485b-b232-981d4e456f60",-120,-80,"457583678","138289673","2026-01-18 20:41:56.121"
