row,lat,lon,!75f19024_mesaured_rssi,!75f19024_predicted_rssi,!75f19024_path_loss_rssi,!75f19024_los_obstructed,!75f19024_fresnel_60_obstructed,!75f19024_first_fresnel_obstructed,!7369fb6a_mesaured_rssi,!7369fb6a_predicted_rssi,!7369fb6a_path_loss_rssi,!7369fb6a_los_obstructed,!7369fb6a_fresnel_60_obstructed,!7369fb6a_first_fresnel_obstructed
251,45.6442988,13.9006861,-121.0,-105.98,-90.23000000000002,False,False,True,-118.0,-106.94000000000001,-91.19,False,False,True
252,45.6442153,13.9007493,-80.0,-105.98,-90.24000000000001,False,True,True,-118.0,-106.94000000000001,-91.20000000000002,False,True,True
253,45.6443316,13.9005705,-78.0,-151.01000000000002,-90.23000000000002,True,True,True,-125.0,-146.86,-91.19,True,True,True
254,45.6437745,13.8994586,-78.0,-105.99000000000001,-90.23000000000002,False,False,False,-128.0,-106.94000000000001,-91.19,False,False,False
255,45.6438635,13.8985875,-117.0,-105.96000000000001,-90.22,False,True,True,-122.0,-106.93,-91.18,False,True,True
256,45.6439413,13.8984966,-114.0,-105.96000000000001,-90.22,False,True,True,-114.0,-106.93,-91.18,False,True,True
257,45.6442565,13.8982668,-119.0,-105.95,-90.20000000000002,False,False,False,-118.0,-106.91000000000001,-91.16,False,False,False
258,45.6445511,13.897861,-79.0,-105.94000000000001,-90.19,False,False,False,-120.0,-106.9,-91.15,False,False,False
259,45.6446356,13.8972948,-117.0,-136.17000000000002,-90.18,True,True,True,-82.0,-128.99,-91.14000000000001,True,True,True
260,45.644781,13.8970281,-110.0,-105.91000000000001,-90.17000000000002,False,False,False,-120.0,-106.88000000000001,-91.13,False,True,True
261,45.6453235,13.8965263,-118.0,-105.9,-90.14000000000001,False,False,True,-120.0,-106.85000000000001,-91.11000000000001,False,False,False
262,45.645676,13.8963961,-116.0,-150.42000000000002,-90.13,True,True,True,-118.0,-146.22,-91.1,True,True,True
263,45.6468428,13.8952041,-124.0,-150.16,-90.08000000000001,True,True,True,-123.0,-145.9,-91.03999999999999,True,True,True
