row,lat,lon,!75f19024_mesaured_rssi,!75f19024_predicted_rssi,!75f19024_path_loss_rssi,!75f19024_los_obstructed,!75f19024_fresnel_60_obstructed,!75f19024_first_fresnel_obstructed,!7369fb6a_mesaured_rssi,!7369fb6a_predicted_rssi,!7369fb6a_path_loss_rssi,!7369fb6a_los_obstructed,!7369fb6a_fresnel_60_obstructed,!7369fb6a_first_fresnel_obstructed
49,45.8164901,13.7725788,-79.0,-145.89000000000001,-84.57,True,True,True,-106.0,-137.24,-83.47,True,True,True
50,45.816918,13.776684,-77.0,-132.69,-84.97,True,True,True,-116.0,-133.79,-83.74000000000001,True,True,True
51,45.8163446,13.778701,-78.0,-106.14,-85.28,False,True,True,-112.0,-99.81,-83.97,False,True,True
52,45.8154506,13.7831776,-79.0,-121.39,-85.88,True,True,True,-104.0,-100.25,-84.42000000000002,False,True,True
53,45.814425,13.790601,-79.0,-106.91000000000001,-86.75999999999999,False,True,True,-99.0,-100.88000000000001,-85.09,False,True,True
54,45.8138098,13.792954,-78.0,-107.02000000000001,-87.05000000000001,False,True,True,-106.0,-101.13000000000001,-85.32,False,True,True
55,45.8131701,13.7952691,-80.0,-107.75,-87.34,False,True,True,-100.0,-101.33000000000001,-85.55000000000001,False,True,True
56,45.8126228,13.7976533,-122.0,-108.21000000000001,-87.61000000000001,True,True,True,-101.0,-101.53,-85.75999999999999,False,True,True
57,45.8128153,13.800127,-79.0,-107.47,-87.82,True,True,True,-110.0,-101.7,-85.92000000000002,False,True,True
58,45.8136015,13.8019396,,,,,,,-112.0,-101.76,-85.99000000000001,False,True,True
59,45.8141561,13.803725,-78.0,-105.61,-88.03999999999999,False,True,True,-96.0,-101.85000000000001,-86.07,False,True,True
60,45.8142838,13.8056948,-80.0,-104.42,-88.20000000000002,False,True,True,-94.0,-101.98,-86.20000000000002,False,True,True
61,45.8146386,13.807649,-80.0,-104.09,-88.35,False,True,True,-108.0,-102.08000000000001,-86.32,False,True,True
62,45.814385,13.8155311,,,,,,,-124.0,-128.26000000000002,-86.88,True,True,True
63,45.8194845,13.8341643,,,,,,,-121.0,-135.43,-87.87,True,True,True
64,45.8196221,13.8377478,-79.0,-146.51000000000002,-90.59,True,True,True,-119.0,-124.53,-88.1,True,True,True
65,45.819402,13.8397015,-120.0,-145.61,-90.74000000000001,True,True,True,-119.0,-121.80000000000001,-88.23000000000002,True,True,True
66,45.8189595,13.841767,-78.0,-145.17000000000002,-90.91,True,True,True,-119.0,-134.63,-88.38,True,True,True
67,45.8182035,13.84337,-122.0,-145.25,-91.05000000000001,True,True,True,-117.0,-119.76,-88.50999999999999,True,True,True
68,45.8175536,13.84461,-79.0,-146.47,-91.16,True,True,True,-119.0,-124.10000000000001,-88.61000000000001,True,True,True
69,45.81831,13.8441411,,,,,,,-119.0,-120.05000000000001,-88.55000000000001,True,True,True
70,45.8182535,13.8440681,,,,,,,-122.0,-119.68,-88.55000000000001,True,True,True
71,45.8182231,13.844048,-79.0,-145.0,-91.1,True,True,True,-124.0,-119.61,-88.55000000000001,True,True,True
72,45.8182425,13.8440415,-79.0,-145.01000000000002,-91.1,True,True,True,-126.0,-119.71000000000001,-88.55000000000001,True,True,True
73,45.8182501,13.844037,-78.0,-145.02,-91.1,True,True,True,-126.0,-119.73,-88.55000000000001,True,True,True
74,45.8182791,13.84395,-79.0,-144.93,-91.09,True,True,True,-124.0,-122.31,-88.53999999999999,True,True,True
75,45.8181413,13.8437246,-78.0,-145.44,-91.08000000000001,True,True,True,-116.0,-120.05000000000001,-88.53,True,True,True
76,45.8175656,13.8445545,-79.0,-146.05,-91.16,True,True,True,-124.0,-121.24000000000001,-88.61000000000001,True,True,True
77,45.8173866,13.8451473,-79.0,-144.31,-91.21000000000001,True,True,True,-121.0,-128.72,-88.65,True,True,True
78,45.7939918,13.8371706,-79.0,-130.33,-91.78,True,True,True,-120.0,-104.99000000000001,-89.33000000000001,False,True,True
79,45.7932353,13.8368983,-79.0,-140.68,-91.81,True,True,True,-122.0,-125.26000000000002,-89.36000000000001,True,True,True
80,45.7932751,13.8368636,-79.0,-140.76000000000002,-91.81,True,True,True,-123.0,-126.11000000000001,-89.36000000000001,True,True,True
81,45.7932876,13.8368645,-79.0,-140.76000000000002,-91.81,True,True,True,-122.0,-126.11000000000001,-89.36000000000001,True,True,True
82,45.7932738,13.836879,-79.0,-140.79,-91.81,True,True,True,-119.0,-126.24000000000001,-89.36000000000001,True,True,True
83,45.7851398,13.8341775,,,,,,,-125.0,-133.91,-89.69,True,True,True
84,45.7797166,13.8326066,-80.0,,,,,,-115.0,-105.58000000000001,-89.94,False,True,True
85,45.7753215,13.8278135,,,,,,,-119.0,-105.66000000000001,-90.02000000000001,False,True,True
86,45.7740416,13.827105,-80.0,-154.88,-92.53,True,True,True,-121.0,-147.75,-90.07,True,True,True
