row,lat,lon,!75f19024_mesaured_rssi,!75f19024_predicted_rssi,!75f19024_path_loss_rssi,!75f19024_los_obstructed,!75f19024_fresnel_60_obstructed,!75f19024_first_fresnel_obstructed,!7369fb6a_mesaured_rssi,!7369fb6a_predicted_rssi,!7369fb6a_path_loss_rssi,!7369fb6a_los_obstructed,!7369fb6a_fresnel_60_obstructed,!7369fb6a_first_fresnel_obstructed,!da5ad56c_mesaured_rssi,!da5ad56c_predicted_rssi,!da5ad56c_path_loss_rssi,!da5ad56c_los_obstructed,!da5ad56c_fresnel_60_obstructed,!da5ad56c_first_fresnel_obstructed
35,45.850736,13.7560013,-100.0,-61.05,-65.46000000000001,False,False,False,-109.0,-84.06,-68.99000000000001,True,True,True,-85.0,-63.89,-68.30000000000001,False,False,True
36,45.8504723,13.7571735,-96.0,-61.400000000000006,-65.78,False,False,False,-84.0,-86.02,-69.33000000000001,True,True,True,-71.0,-64.24,-68.57,False,False,False
37,45.8500256,13.7584488,-71.0,-61.730000000000004,-66.1,False,False,False,-103.0,-67.21,-69.70000000000002,True,True,True,-91.0,-64.51,-68.86000000000001,False,False,True
38,45.8498415,13.759966,-96.0,-62.16,-66.53999999999999,False,True,True,-88.0,-121.14,-70.1,True,True,True,-102.0,-64.84,-69.21000000000001,False,True,True
39,45.8493216,13.7605718,-87.0,-62.209999999999994,-66.64000000000001,False,False,False,-87.0,-66.68,-70.28999999999999,True,True,True,-88.0,-64.96,-69.33000000000001,False,False,True
40,45.8488048,13.7617501,-84.0,-62.519999999999996,-66.93,False,False,False,-106.0,-66.22,-70.6,True,True,True,-84.0,-65.21,-69.58000000000001,False,False,False
41,45.8488481,13.763099,-108.0,-89.27,-67.32,True,True,True,-83.0,-96.46,-70.91,True,True,True,-71.0,-92.71,-69.88,True,True,True
42,45.8488968,13.7643443,-110.0,-104.06,-67.67000000000002,True,True,True,-89.0,-110.83,-71.18,True,True,True,-114.0,-105.66,-70.14000000000001,True,True,True
43,45.8494265,13.7649356,-118.0,-115.46,-67.88,True,True,True,-85.0,-123.38999999999999,-71.27000000000001,True,True,True,-71.0,-120.58,-70.28,True,True,True
44,45.849555,13.7658388,,,,,,,,,,,,,,,,,,
45,45.8496215,13.7668345,-70.0,-123.63999999999999,-68.39000000000001,True,True,True,-89.0,-120.53,-71.66,True,True,True,-124.0,-121.19,-70.67000000000002,True,True,True
46,45.8495841,13.7677565,,,,,,,,,,,,,,,,,,
47,45.8495005,13.7686933,,,,,,,,,,,,,,,,,,
48,45.8493471,13.769598,,,,,,,,,,,,,,,,,,
49,45.8492536,13.7706133,-69.0,-124.44999999999999,-69.25999999999999,True,True,True,-89.0,-120.81,-72.43,True,True,True,-126.0,-125.19,-71.38,True,True,True
50,45.849051,13.7717558,,,,,,,,,,,,,,,,,,
51,45.8484411,13.7722556,,,,,,,-126.0,-128.02,-72.77000000000001,True,True,True,,,,,,
52,45.8476838,13.7719378,,,,,,,,,,,,,,,,,,
53,45.8468338,13.7715605,,,,,,,-127.0,-124.65,-72.74000000000001,True,True,True,,,,,,
54,45.845944,13.7712098,,,,,,,-122.0,-123.72,-72.74000000000001,True,True,True,,,,,,
55,45.8454588,13.7705315,-114.0,-111.35,-69.05000000000001,True,True,True,-83.0,-120.68,-72.65,True,True,True,-71.0,-109.0,-71.33000000000001,True,True,True
56,45.8454348,13.7692763,,,,,,,,,,,,,,,,,,
57,45.8450993,13.76824,,,,,,,,,,,,,,,,,,
58,45.8446921,13.7673075,-112.0,-118.23,-68.23000000000002,True,True,True,-83.0,-109.47,-72.13,True,True,True,-107.0,-108.64,-70.73000000000002,True,True,True
59,45.8443405,13.7663035,-78.0,-123.21000000000001,-67.95000000000002,True,True,True,-118.0,-90.53,-71.97,True,True,True,-107.0,-114.2,-70.53999999999999,True,True,True
60,45.8440566,13.765193,-70.0,-128.42,-67.64000000000001,True,True,True,,,,,,,-115.0,-120.55,-70.32,True,True,True
61,45.843884,13.7641238,-70.0,-130.02,-67.34,True,True,True,-89.0,-108.03,-71.6,True,True,True,-119.0,-126.1,-70.1,True,True,True
62,45.8436081,13.762938,,,,,,,,,,,,,,,,,,
63,45.843324,13.7619913,,,,,,,,,,,,,,,,,,
64,45.8424028,13.7615856,,,,,,,,,,,,,,,,,,
65,45.8414613,13.7610255,-115.0,-121.07,-66.44,True,True,True,-84.0,-130.93,-71.32,True,True,True,-70.0,-128.12,-69.53,True,True,True
66,45.8405605,13.7602058,,,,,,,,,,,,,,,,,,
67,45.8399933,13.7592731,-70.0,-96.46,-65.97,True,True,True,-89.0,-112.11,-71.22,True,True,True,-102.0,-98.98,-69.24000000000001,True,True,True
68,45.8397091,13.759123,,,,,,,,,,,,,,,,,,
69,45.8396298,13.7601783,,,,,,,,,,,,,,,,,,
70,45.8394895,13.7613815,,,,,,,,,,,,,-124.0,-108.86,-69.74000000000001,True,True,True
71,45.8391956,13.7625816,-68.0,-104.66,-67.08000000000001,True,True,True,-89.0,-120.47,-71.95000000000002,True,True,True,-109.0,-107.88,-70.02000000000001,True,True,True
72,45.8388441,13.7633773,,,,,,,,,,,,,,,,,,
73,45.8384501,13.7639243,-79.0,-117.48,-67.53,True,True,True,-124.0,-118.59,-72.28999999999999,True,True,True,-84.0,-119.9,-70.35,True,True,True
74,45.8381423,13.764556,-79.0,-105.84,-67.74000000000001,True,True,True,-122.0,-113.91,-72.44,True,True,True,-85.0,-112.48,-70.5,True,True,True
75,45.8377415,13.7651653,,,,,,,,,,,,,,,,,,
76,45.8376858,13.7657625,,,,,,,,,,,,,,,,,,
77,45.8370505,13.7657406,,,,,,,,,,,,,,,,,,
78,45.8352413,13.7651991,,,,,,,,,,,,,,,,,,
79,45.8339218,13.764762,-79.0,-95.8,-68.33000000000001,True,True,True,-109.0,-86.13,-73.11000000000001,True,True,True,-104.0,-98.65,-70.94,True,True,True
80,45.8325006,13.7643586,-79.0,-90.05,-68.47,True,True,True,-91.0,-72.61,-73.28,False,True,True,-85.0,-94.75,-71.03,True,True,True
81,45.8311853,13.7632563,,,,,,,,,,,,,,,,,,
82,45.829891,13.762076,-79.0,-87.76,-68.47,True,True,True,-92.0,-69.11,-73.42000000000002,False,False,True,-84.0,-90.14,-70.99000000000001,True,True,True
83,45.8286861,13.7610151,-80.0,-89.8,-68.52000000000001,True,True,True,-104.0,-69.17,-73.50999999999999,True,True,True,-85.0,-91.1,-71.0,True,True,True
84,45.8275976,13.7595518,,,,,,,-115.0,-69.19,-73.53999999999999,False,False,True,,,,,,
85,45.8265951,13.758201,-79.0,-79.84,-68.5,True,True,True,-94.0,-69.25,-73.58000000000001,True,True,True,-84.0,-93.54,-70.91,True,True,True
86,45.825593,13.7567798,,,,,,,,,,,,,,,,,,
87,45.8245191,13.7553938,,,,,,,-114.0,-90.83,-73.71000000000001,True,True,True,,,,,,
88,45.8233581,13.7540268,,,,,,,-110.0,-69.51,-73.82,False,True,True,,,,,,
89,45.8222275,13.7528971,-79.0,-86.62,-68.92000000000002,True,True,True,-98.0,-69.61,-73.95000000000002,False,True,True,-85.0,-94.1,-71.02000000000001,True,True,True
90,45.8215253,13.7521895,-79.0,-86.79,-69.05000000000001,True,True,True,-96.0,-69.68,-74.03999999999999,False,False,True,-85.0,-92.28,-71.08000000000001,True,True,True
91,45.8207245,13.7509918,-80.0,-85.26,-69.15,True,True,True,-96.0,-69.77,-74.11000000000001,True,True,True,-85.0,-90.02,-71.11000000000001,True,True,True
92,45.8198168,13.7495075,,,,,,,-117.0,-69.87,-74.19,False,False,False,,,,,,
93,45.81849,13.7492698,-80.0,-66.07,-69.65,False,True,True,-115.0,-70.1,-74.44,False,False,True,-86.0,-92.0,-71.42000000000002,True,True,True
94,45.8175711,13.748113,,,,,,,,,,,,,,,,,,
95,45.817637,13.7466606,,,,,,,,,,,,,,,,,,
96,45.817805,13.7452993,,,,,,,,,,,,,,,,,,
97,45.8178316,13.7438053,,,,,,,,,,,,,,,,,,
98,45.8180841,13.74194,,,,,,,,,,,,,,,,,,
99,45.8189986,13.740523,-105.0,-82.49,-68.91,True,True,True,-88.0,-69.51,-73.87,False,True,True,-114.0,-97.97,-70.49000000000001,True,True,True
100,45.820127,13.7390685,,,,,,,-121.0,-69.23,-73.53999999999999,False,False,False,,,,,,
101,45.8210025,13.7375226,,,,,,,-116.0,-68.94,-73.27000000000001,False,False,False,,,,,,
102,45.8219833,13.7361135,-80.0,-91.74,-67.67000000000002,True,True,True,-97.0,-77.3,-72.97,False,False,True,-86.0,-100.55,-69.27000000000001,True,True,True
103,45.822857,13.7346163,-79.0,-99.19,-67.30000000000001,True,True,True,-102.0,-75.29,-72.69,False,True,True,-85.0,-100.36,-68.87,True,True,True
104,45.8237696,13.7331076,-78.0,-96.43,-66.91,True,True,True,-106.0,-69.89,-72.4,False,False,True,-84.0,-95.95,-68.44,True,True,True
105,45.8245023,13.7323976,-79.0,-90.14,-66.6,True,True,True,-98.0,-68.49,-72.18,False,False,True,-85.0,-95.09,-68.13,True,True,True
106,45.8254365,13.7328033,,,,,,,,,,,,,,,,,,
107,45.8260248,13.7336668,-111.0,-100.47,-65.86000000000001,True,True,True,-108.0,-75.44,-71.78,False,True,True,-115.0,-98.79,-67.67000000000002,True,True,True
108,45.8267525,13.7335915,-120.0,-99.96,-65.49000000000001,True,True,True,-84.0,-78.42,-71.56,False,True,True,-71.0,-101.39,-67.38,True,True,True
109,45.8275053,13.7343663,,,,,,,-120.0,-101.21,-71.37,True,True,True,-122.0,-102.97,-67.17000000000002,True,True,True
110,45.8279336,13.735963,,,,,,,,,,,,,,,,,,
111,45.828943,13.736651,-79.0,-91.5,-64.33000000000001,True,True,True,-110.0,-97.96,-71.03999999999999,True,True,True,-85.0,-105.74,-66.9,True,True,True
112,45.8299668,13.7373558,-113.0,-66.03,-63.74999999999999,False,True,True,-109.0,-66.34,-70.77000000000001,False,False,False,-85.0,-88.46,-66.61000000000001,True,True,True
113,45.8307838,13.7389558,,,,,,,-110.0,-66.21,-70.63,False,False,True,,,,,,
114,45.8316763,13.7399046,-70.0,-76.54,-62.92000000000001,True,True,True,-89.0,-66.01,-70.43,False,False,True,-102.0,-90.27,-66.43,True,True,True
115,45.8323855,13.740563,-79.0,-73.66,-62.559999999999995,True,True,True,-90.0,-65.84,-70.25999999999999,False,False,True,-85.0,-90.77,-66.31,True,True,True
116,45.8337186,13.7393288,,,,,,,-78.0,-65.3,-69.69,False,False,True,,,,,,
117,45.8348581,13.7381233,-92.0,-64.34,-60.15999999999999,False,True,True,-84.0,-64.72,-69.15,False,True,True,-85.0,-74.01,-64.78,True,True,True
118,45.8361391,13.7385296,-78.0,-74.77,-59.03,True,True,True,-84.0,-64.29,-68.71000000000001,False,True,True,-84.0,-65.55,-64.37,False,True,True
119,45.8373708,13.737918,-79.0,-56.83,-57.480000000000004,False,True,True,-82.0,-63.7,-68.14000000000001,False,True,True,-92.0,-63.14,-63.65999999999999,False,True,True
120,45.8386736,13.7371988,-76.0,-51.81,-55.45,False,False,True,-78.0,-63.08,-67.49000000000001,False,False,False,-85.0,-63.94,-62.84999999999999,False,True,True
121,45.8396915,13.7358016,-83.0,-49.92,-53.03999999999999,False,False,True,-76.0,-62.36,-66.81,False,True,True,-85.0,-62.86,-61.809999999999995,False,True,True
122,45.8407061,13.7343743,-70.0,-45.47,-50.09,False,False,True,-82.0,-61.59,-66.09,False,True,True,-85.0,-63.84,-60.62999999999999,False,True,True
123,45.8417323,13.7331145,-60.0,-40.45,-46.980000000000004,False,False,False,-98.0,-60.870000000000005,-65.32,False,False,True,-85.0,-66.43,-59.36,True,True,True
